,时间间隔,收盘,开盘,最高,最低
1285,14:00 - 14:30,22278.12,22278.12,22278.12,22278.12
1298,14:00 - 14:30,22215.32,22215.32,22215.32,22215.32
1311,14:00 - 14:30,22319.61,22319.61,22319.61,22319.61
1324,14:00 - 14:30,22467.87,22467.87,22467.87,22467.87
1337,14:00 - 14:30,22508.03,22508.03,22508.03,22508.03
1350,14:00 - 14:30,22472.78,22472.78,22472.78,22472.78
1363,14:00 - 14:30,22467.16,22467.16,22467.16,22467.16
1376,14:00 - 14:30,22508.69,22508.69,22508.69,22508.69
1389,14:00 - 14:30,22408.88,22408.88,22408.88,22408.88
1402,14:00 - 14:30,22497.18,22497.18,22497.18,22497.18
1415,14:00 - 14:30,22758.48,22758.48,22758.48,22758.48
1428,14:00 - 14:30,22865.86,22865.86,22865.86,22865.86
1441,14:00 - 14:30,22818.02,22818.02,22818.02,22818.02
1454,14:00 - 14:30,22717.23,22717.23,22717.23,22717.23
1467,14:00 - 14:30,22838.37,22838.37,22838.37,22838.37
1480,14:00 - 14:30,22930.36,22930.36,22930.36,22930.36
1493,14:00 - 14:30,23002.37,23002.37,23002.37,23002.37
1506,14:00 - 14:30,22960.34,22960.34,22960.34,22960.34
1519,14:00 - 14:30,22689.74,22689.74,22689.74,22689.74
1532,14:00 - 14:30,22437.01,22437.01,22437.01,22437.01
1545,14:00 - 14:30,22450.79,22450.79,22450.79,22450.79
1558,14:00 - 14:30,22481.09,22481.09,22481.09,22481.09
1571,14:00 - 14:30,22358.43,22358.43,22358.43,22358.43
1584,14:00 - 14:30,22018.52,22018.52,22018.52,22018.52
1597,14:00 - 14:30,22201.82,22201.82,22201.82,22201.82
1610,14:00 - 14:30,22171.35,22171.35,22171.35,22171.35
1623,14:00 - 14:30,22475.94,22475.94,22475.94,22475.94
1636,14:00 - 14:30,22539.54,22539.54,22539.54,22539.54
1649,14:00 - 14:30,22625.73,22625.73,22625.73,22625.73
1662,14:00 - 14:30,22823.26,22823.26,22823.26,22823.26
1675,14:00 - 14:30,22694.5,22694.5,22694.5,22694.5
1688,14:00 - 14:30,22804.04,22804.04,22804.04,22804.04
1701,14:00 - 14:30,22878.35,22878.35,22878.35,22878.35
1714,14:00 - 14:30,22966.38,22966.38,22966.38,22966.38
1727,14:00 - 14:30,22738.61,22738.61,22738.61,22738.61
1740,14:00 - 14:30,22851.75,22851.75,22851.75,22851.75
1753,14:00 - 14:30,22680.33,22680.33,22680.33,22680.33
1766,14:00 - 14:30,22278.48,22278.48,22278.48,22278.48
1779,14:00 - 14:30,22555.43,22555.43,22555.43,22555.43
1792,14:00 - 14:30,22693.04,22693.04,22693.04,22693.04
1805,14:00 - 14:30,22516.83,22516.83,22516.83,22516.83
1818,14:00 - 14:30,22338.15,22338.15,22338.15,22338.15
1831,14:00 - 14:30,22342.0,22342.0,22342.0,22342.0
1844,14:00 - 14:30,22271.77,22271.77,22271.77,22271.77
1857,14:00 - 14:30,22270.39,22270.39,22270.39,22270.39
1870,14:00 - 14:30,22304.51,22304.51,22304.51,22304.51
1883,14:00 - 14:30,21811.93,21811.93,21811.93,21811.93
1896,14:00 - 14:30,21785.54,21785.54,21785.54,21785.54
1909,14:00 - 14:30,21717.04,21717.04,21717.04,21717.04
1922,14:00 - 14:30,21546.99,21546.99,21546.99,21546.99
